Time [s],dont_use,lv_timer_handler,flush_cb,refr_invalid_areas
0.952295080,1,1,1,1
0.952300800,0,1,1,1
0.955189460,1,1,1,1
0.955195580,1,1,0,1
0.960840300,1,1,1,1
0.960842600,0,1,1,1
0.960852120,1,1,1,1
0.960853520,0,1,1,1
0.960867440,1,1,1,1
0.960868740,0,1,1,1
0.960878140,1,1,1,1
0.960879560,0,1,1,1
0.960893500,1,1,1,1
0.960894780,0,1,1,1
0.960904200,1,1,1,1
0.960909920,0,1,1,1
0.963798780,1,1,1,1
0.963807360,1,1,0,1
0.969454780,1,1,1,1
0.969457100,0,1,1,1
0.969466600,1,1,1,1
0.969468000,0,1,1,1
0.969481920,1,1,1,1
0.969483220,0,1,1,1
0.969492620,1,1,1,1
0.969494040,0,1,1,1
0.969507960,1,1,1,1
0.969509260,0,1,1,1
0.969518660,1,1,1,1
0.969524380,0,1,1,1
0.972413320,1,1,1,1
0.972419500,1,1,0,1
0.978062740,1,1,1,1
0.978065060,0,1,1,1
0.978074560,1,1,1,1
0.978075960,0,1,1,1
0.978089900,1,1,1,1
0.978091200,0,1,1,1
0.978100600,1,1,1,1
0.978102020,0,1,1,1
0.978115940,1,1,1,1
0.978117240,0,1,1,1
0.978126660,1,1,1,1
0.978132380,0,1,1,1
0.981023180,1,1,1,1
0.981031780,1,1,0,1
0.986676560,1,1,1,1
0.986678860,0,1,1,1
0.986688380,1,1,1,1
0.986689780,0,1,1,1
0.986703700,1,1,1,1
0.986705000,0,1,1,1
0.986714420,1,1,1,1
0.986715840,0,1,1,1
0.986729760,1,1,1,1
0.986731060,0,1,1,1
0.986740460,1,1,1,1
0.986746180,0,1,1,1
0.989637420,1,1,1,1
0.989642360,1,1,0,1
0.995285700,1,1,1,1
0.995288000,0,1,1,1
0.995298980,1,1,1,1
0.995300380,0,1,1,1
0.995314300,1,1,1,1
0.995315600,0,1,1,1
0.995325000,1,1,1,1
0.995326420,0,1,1,1
0.995340340,1,1,1,1
0.995341640,0,1,1,1
0.995351060,1,1,1,1
0.995356780,0,1,1,1
0.998246800,1,1,1,1
0.998256280,1,1,0,1
1.003900240,1,1,1,1
1.003902540,0,1,1,1
1.003912040,1,1,1,1
1.003913440,0,1,1,1
1.003927360,1,1,1,1
1.003928660,0,1,1,1
1.003938060,1,1,1,1
1.003939480,0,1,1,1
1.003953400,1,1,1,1
1.003954700,0,1,1,1
1.003964120,1,1,1,1
1.003969820,0,1,1,1
1.006858200,1,1,1,1
1.006864320,1,1,0,1
1.012510920,1,1,1,1
1.012513220,0,1,1,1
1.012522740,1,1,1,1
1.012524140,0,1,1,1
1.012538060,1,1,1,1
1.012539340,0,1,1,1
1.012548760,1,1,1,1
1.012550180,0,1,1,1
1.012564080,1,1,1,1
1.012565380,0,1,1,1
1.012574800,1,1,1,1
1.012580520,0,1,1,1
1.015470280,1,1,1,1
1.015477480,1,1,0,1
1.017829420,1,1,1,1
1.017831720,0,1,1,1
1.017841220,1,1,1,1
1.017842620,0,1,1,1
1.017856540,1,1,1,1
1.017857840,0,1,1,1
1.017867260,1,1,1,1
1.017868680,0,1,1,1
1.017882580,1,1,1,1
1.017883880,0,1,1,1
1.017893300,1,1,1,1
1.017899020,0,1,1,1
1.018873080,1,1,1,1
1.018879200,1,1,0,1
1.018881520,1,1,0,0
1.018907160,1,0,0,0
1.041714260,1,0,0,0
